Fiscal Year,District Number,District Type,District Name,Language Name,Home Primary Language,Enrollments,County Code,County Name,Economic Development Region,Strata,Strata Name
12-13,0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DISTRICT,Vietnamese,051,14,86,Wright                                       ,07W,3,Outstate - Enrollment 2000 or more
12-13,0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DISTRICT,Bulgarian,064,2,86,Wright                                       ,07W,3,Outstate - Enrollment 2000 or more
12-13,0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DISTRICT,Nyanja,330,2,86,Wright                                       ,07W,3,Outstate - Enrollment 2000 or more
12-13,0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DISTRICT,"Filipino, Pilipino",126,1,86,Wright                                       ,07W,3,Outstate - Enrollment 2000 or more
12-13,0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DISTRICT,Portuguese,038,1,86,Wright                                       ,07W,3,Outstate - Enrollment 2000 or more
12-13,0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DISTRICT,Tigrinya,071,1,86,Wright                                       ,07W,3,Outstate - Enrollment 2000 or more
12-13,0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DISTRICT,German,017,1,86,Wright                                       ,07W,3,Outstate - Enrollment 2000 or more
12-13,0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DISTRICT,Fijian,231,3,86,Wright                                       ,07W,3,Outstate - Enrollment 2000 or more
12-13,0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DISTRICT,Arabic,002,4,86,Wright                                       ,07W,3,Outstate - Enrollment 2000 or more
12-13,0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DISTRICT,Danish,009,1,86,Wright                                       ,07W,3,Outstate - Enrollment 2000 or more
12-13,0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DISTRICT,Moldovan,315,1,86,Wright                                       ,07W,3,Outstate - Enrollment 2000 or more
12-13,0891,01,CANBY PUBLIC SCHOOL DISTRICT,English,011,489,87,Yellow Medicine                              ,06W,6,Outstate - Enrollment less than 500
12-13,0891,01,CANBY PUBLIC SCHOOL DISTRICT,Portuguese,038,2,87,Yellow Medicine                              ,06W,6,Outstate - Enrollment less than 500
12-13,0891,01,CANBY PUBLIC SCHOOL DISTRICT,Russian,040,1,87,Yellow Medicine                              ,06W,6,Outstate - Enrollment less than 500
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,French,015,2,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,Finnish,014,1,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,Lithuanian,031,1,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,Vietnamese,051,2,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,Russian,040,20,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,Hmong,020,15,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,English,011,4880,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,"Indonesian, Bahasa Indonesian",032,1,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,Korean,026,1,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,Ukrainian,049,4,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,Cebuano,036,29,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,Afrikaans,001,2,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,Thai,047,2,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,"Lao, Laotian ",028,3,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,Norwegian,034,1,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,Farsi ,013,1,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,Polish,037,1,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,"Chinese, Mandarin ",007,1,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,Japanese,024,2,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,Italian,023,1,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,Amharic,063,1,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,German,017,3,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,Spanish,045,29,30,Isanti                                       ,07E,3,Outstate - Enrollment 2000 or more
12-13,0912,01,MILACA PUBLIC SCHOOL DISTRICT,Russian,040,14,48,Mille Lacs                                   ,07E,4,Outstate - Enrollment between 1000 and 1999
12-13,0912,01,MILACA PUBLIC SCHOOL DISTRICT,Cebuano,036,6,48,Mille Lacs                                   ,07E,4,Outstate - Enrollment between 1000 and 1999
12-13,0912,01,MILACA PUBLIC SCHOOL DISTRICT,Korean,026,1,48,Mille Lacs                                   ,07E,4,Outstate - Enrollment between 1000 and 1999
12-13,0912,01,MILACA PUBLIC SCHOOL DISTRICT,English,011,1819,48,Mille Lacs                                   ,07E,4,Outstate - Enrollment between 1000 and 1999
12-13,0912,01,MILACA PUBLIC SCHOOL DISTRICT,Hindi ,019,1,48,Mille Lacs                                   ,07E,4,Outstate - Enrollment between 1000 and 1999
12-13,0912,01,MILACA PUBLIC SCHOOL DISTRICT,Spanish,045,1,48,Mille Lacs                                   ,07E,4,Outstate - Enrollment between 1000 and 1999
12-13,0914,01,ULEN-HITTERDAL PUBLIC SCHOOL DISTRICT,English,011,302,14,Clay                                         ,04,6,Outstate - Enrollment less than 500
12-13,0915,52,SOUTHERN PLAINS EDUCATION COOP.,English,011,81,46,Martin                                       ,09,6,Outstate - Enrollment less than 500
12-13,0916,06,NORTHEAST METRO 916,Spanish,045,15,62,Ramsey                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0916,06,NORTHEAST METRO 916,Karen ,129,1,62,Ramsey                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0916,06,NORTHEAST METRO 916,Hmong,020,3,62,Ramsey                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0916,06,NORTHEAST METRO 916,"Oromo, Afan Oromo, Oromiffa ",074,1,62,Ramsey                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0916,06,NORTHEAST METRO 916,English,011,591,62,Ramsey                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0916,06,NORTHEAST METRO 916,Bosnian,041,1,62,Ramsey                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0916,06,NORTHEAST METRO 916,Somali,069,2,62,Ramsey                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0916,06,NORTHEAST METRO 916,"Karen, Pwo",410,1,62,Ramsey                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0916,06,NORTHEAST METRO 916,Burmese,055,1,62,Ramsey                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0917,06,INTERMEDIATE SCHOOL DISTRICT 917,Bosnian,041,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0917,06,INTERMEDIATE SCHOOL DISTRICT 917,English,011,592,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0917,06,INTERMEDIATE SCHOOL DISTRICT 917,"Chinese, Mandarin ",007,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0917,06,INTERMEDIATE SCHOOL DISTRICT 917,Spanish,045,17,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0917,06,INTERMEDIATE SCHOOL DISTRICT 917,"Oromo, Afan Oromo, Oromiffa ",074,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0926,83,REGION 4-LAKES COUNTRY SERVICE COOPERATIVE,English,011,37,56,Otter Tail                                   ,04,6,Outstate - Enrollment less than 500
12-13,0930,53,CARVER-SCOTT EDUCATIONAL COOPERATIVE,English,011,149,10,Carver                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0930,53,CARVER-SCOTT EDUCATIONAL COOPERATIVE,Spanish,045,22,10,Carver                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,0935,52,FERGUS FALLS AREA SP. ED. COOPERATIVE,Finnish,014,4,56,Otter Tail                                   ,04,6,Outstate - Enrollment less than 500
12-13,0935,52,FERGUS FALLS AREA SP. ED. COOPERATIVE,English,011,23,56,Otter Tail                                   ,04,6,Outstate - Enrollment less than 500
12-13,0938,52,MEEKER AND WRIGHT SPECIAL EDUCATION,English,011,138,86,Wright                                       ,07W,6,Outstate - Enrollment less than 500
12-13,0957,51,OAK LAND VOCATIONAL COOPERATVE,English,011,235,30,Isanti                                       ,07E,6,Outstate - Enrollment less than 500
12-13,0957,51,OAK LAND VOCATIONAL COOPERATVE,Spanish,045,2,30,Isanti                                       ,07E,6,Outstate - Enrollment less than 500
12-13,0957,51,OAK LAND VOCATIONAL COOPERATVE,Russian,040,1,30,Isanti                                       ,07E,6,Outstate - Enrollment less than 500
12-13,0957,51,OAK LAND VOCATIONAL COOPERATVE,Hmong,020,1,30,Isanti                                       ,07E,6,Outstate - Enrollment less than 500
12-13,0966,51,WRIGHT TECHNICAL CENTER,English,011,137,86,Wright                                       ,07W,6,Outstate - Enrollment less than 500
12-13,0991,83,REGN 6 AND 8-SW/WC SRV COOPERATIVE,Nuer,076,1,42,Lyon                                         ,08,6,Outstate - Enrollment less than 500
12-13,0991,83,REGN 6 AND 8-SW/WC SRV COOPERATIVE,English,011,133,42,Lyon                                         ,08,6,Outstate - Enrollment less than 500
12-13,0991,83,REGN 6 AND 8-SW/WC SRV COOPERATIVE,Spanish,045,8,42,Lyon                                         ,08,6,Outstate - Enrollment less than 500
12-13,0993,52,MN RIVER VALLEY SPECIAL ED. COOPERATIVE,Spanish,045,2,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0993,52,MN RIVER VALLEY SPECIAL ED. COOPERATIVE,"Lao, Laotian ",028,1,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0993,52,MN RIVER VALLEY SPECIAL ED. COOPERATIVE,English,011,115,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,1000,70,PERPICH CENTER FOR ARTS EDUCATION,English,011,281,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,1000,70,PERPICH CENTER FOR ARTS EDUCATION,Spanish,045,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,1000,70,PERPICH CENTER FOR ARTS EDUCATION,Afrikaans,001,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,1100,60,MINNESOTA DEPARTMENT OF CORRECTIONS,English,011,188,62,Ramsey                                       ,11,2,County Metro Area excluding MPLS/STP
12-13,2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,Spanish,045,3,07,Blue Earth                                   ,09,5,Outstate - Enrollment between 500 and 999
12-13,2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,Korean,026,1,07,Blue Earth                                   ,09,5,Outstate - Enrollment between 500 and 999
12-13,2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,English,011,802,07,Blue Earth                                   ,09,5,Outstate - Enrollment between 500 and 999
12-13,2125,01,TRITON SCHOOL DISTRICT,"Chinese, Mandarin ",007,2,20,Dodge                                        ,10,4,Outstate - Enrollment between 1000 and 1999
12-13,2125,01,TRITON SCHOOL DISTRICT,English,011,1041,20,Dodge                                        ,10,4,Outstate - Enrollment between 1000 and 1999
12-13,2125,01,TRITON SCHOOL DISTRICT,Spanish,045,136,20,Dodge                                        ,10,4,Outstate - Enrollment between 1000 and 1999
12-13,2134,01,UNITED SOUTH CENTRAL SCHOOL DISTRICT,Spanish,045,24,22,Faribault                                    ,09,5,Outstate - Enrollment between 500 and 999
12-13,2134,01,UNITED SOUTH CENTRAL SCHOOL DISTRICT,English,011,594,22,Faribault                                    ,09,5,Outstate - Enrollment between 500 and 999
12-13,2135,01,MAPLE RIVER SCHOOL DISTRICT,Japanese,024,1,07,Blue Earth                                   ,09,4,Outstate - Enrollment between 1000 and 1999
12-13,2135,01,MAPLE RIVER SCHOOL DISTRICT,English,011,1011,07,Blue Earth                                   ,09,4,Outstate - Enrollment between 1000 and 1999
12-13,2135,01,MAPLE RIVER SCHOOL DISTRICT,Spanish,045,13,07,Blue Earth                                   ,09,4,Outstate - Enrollment between 1000 and 1999
12-13,2137,01,KINGSLAND PUBLIC SCHOOL DISTRICT,English,011,601,23,Fillmore                                     ,10,5,Outstate - Enrollment between 500 and 999
12-13,2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,Polish,037,1,69,St. Louis                                    ,03,4,Outstate - Enrollment between 1000 and 1999
12-13,2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,English,011,1891,69,St. Louis                                    ,03,4,Outstate - Enrollment between 1000 and 1999
12-13,2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,Hindi ,019,2,69,St. Louis                                    ,03,4,Outstate - Enrollment between 1000 and 1999
12-13,2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,German,017,2,69,St. Louis                                    ,03,4,Outstate - Enrollment between 1000 and 1999
12-13,2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,Korean,026,1,69,St. Louis                                    ,03,4,Outstate - Enrollment between 1000 and 1999
12-13,2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,Russian,040,1,69,St. Louis                                    ,03,4,Outstate - Enrollment between 1000 and 1999
12-13,2143,01,WATERVILLE-ELYSIAN-MORRISTOWN,Spanish,045,12,40,Le Sueur                                     ,09,5,Outstate - Enrollment between 500 and 999
12-13,2143,01,WATERVILLE-ELYSIAN-MORRISTOWN,Ukrainian,049,1,40,Le Sueur                                     ,09,5,Outstate - Enrollment between 500 and 999
12-13,2143,01,WATERVILLE-ELYSIAN-MORRISTOWN,English,011,818,40,Le Sueur                                     ,09,5,Outstate - Enrollment between 500 and 999
12-13,2144,01,CHISAGO LAKES SCHOOL DISTRICT,"Chinese, Mandarin ",007,4,13,Chisago                                      ,07E,3,Outstate - Enrollment 2000 or more
12-13,2144,01,CHISAGO LAKES SCHOOL DISTRICT,Spanish,045,5,13,Chisago                                      ,07E,3,Outstate - Enrollment 2000 or more
12-13,2144,01,CHISAGO LAKES SCHOOL DISTRICT,Hmong,020,19,13,Chisago                                      ,07E,3,Outstate - Enrollment 2000 or more
12-13,2144,01,CHISAGO LAKES SCHOOL DISTRICT,English,011,3320,13,Chisago                                      ,07E,3,Outstate - Enrollment 2000 or more
12-13,2144,01,CHISAGO LAKES SCHOOL DISTRICT,Russian,040,5,13,Chisago                                      ,07E,3,Outstate - Enrollment 2000 or more
12-13,2144,01,CHISAGO LAKES SCHOOL DISTRICT,Bengali,010,1,13,Chisago                                      ,07E,3,Outstate - Enrollment 2000 or more
12-13,2149,01,MINNEWASKA SCHOOL DISTRICT,Spanish,045,2,61,Pope                                         ,04,4,Outstate - Enrollment between 1000 and 1999
12-13,2149,01,MINNEWASKA SCHOOL DISTRICT,Amharic,063,2,61,Pope                                         ,04,4,Outstate - Enrollment between 1000 and 1999
12-13,2149,01,MINNEWASKA SCHOOL DISTRICT,"Chinese, Mandarin ",007,2,61,Pope                                         ,04,4,Outstate - Enrollment between 1000 and 1999
12-13,2149,01,MINNEWASKA SCHOOL DISTRICT,English,011,1061,61,Pope                                         ,04,4,Outstate - Enrollment between 1000 and 1999
12-13,2149,01,MINNEWASKA SCHOOL DISTRICT,Estonian,012,1,61,Pope                                         ,04,4,Outstate - Enrollment between 1000 and 1999
12-13,2154,01,EVELETH-GILBERT SCHOOL DISTRICT,English,011,1086,69,St. Louis                                    ,03,4,Outstate - Enrollment between 1000 and 1999
12-13,2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,Korean,026,3,80,Wadena                                       ,05,5,Outstate - Enrollment between 500 and 999
12-13,2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,English,011,962,80,Wadena                                       ,05,5,Outstate - Enrollment between 500 and 999
12-13,2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,Spanish,045,2,80,Wadena                                       ,05,5,Outstate - Enrollment between 500 and 999
12-13,2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,Portuguese,038,1,80,Wadena                                       ,05,5,Outstate - Enrollment between 500 and 999
12-13,2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,Norwegian,034,2,80,Wadena                                       ,05,5,Outstate - Enrollment between 500 and 999
12-13,2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,Hungarian,021,2,80,Wadena                                       ,05,5,Outstate - Enrollment between 500 and 999
12-13,2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,German,017,1,80,Wadena                                       ,05,5,Outstate - Enrollment between 500 and 999
12-13,2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,"Chinese, Mandarin ",007,1,80,Wadena                                       ,05,5,Outstate - Enrollment between 500 and 999
12-13,2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SCHOOL,Spanish,045,73,65,Renville                                     ,06E,5,Outstate - Enrollment between 500 and 999
12-13,2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SCHOOL,Cebuano,036,2,65,Renville                                     ,06E,5,Outstate - Enrollment between 500 and 999
12-13,2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SCHOOL,Hmong,020,2,65,Renville                                     ,06E,5,Outstate - Enrollment between 500 and 999
12-13,2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SCHOOL,English,011,474,65,Renville                                     ,06E,5,Outstate - Enrollment between 500 and 999
12-13,2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SCHOOL,German,017,2,65,Renville                                     ,06E,5,Outstate - Enrollment between 500 and 999
12-13,2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SCHOOL,Taiwanese,109,1,65,Renville                                     ,06E,5,Outstate - Enrollment between 500 and 999
12-13,2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SCHOOL,Bulgarian,064,2,65,Renville                                     ,06E,5,Outstate - Enrollment between 500 and 999
12-13,2164,01,DILWORTH-GLYNDON-FELTON,Bengali,010,1,14,Clay                                         ,04,4,Outstate - Enrollment between 1000 and 1999
12-13,2164,01,DILWORTH-GLYNDON-FELTON,Anuak,103,1,14,Clay                                         ,04,4,Outstate - Enrollment between 1000 and 1999
12-13,2164,01,DILWORTH-GLYNDON-FELTON,Kurdish,027,12,14,Clay                                         ,04,4,Outstate - Enrollment between 1000 and 1999
12-13,2164,01,DILWORTH-GLYNDON-FELTON,Spanish,045,47,14,Clay                                         ,04,4,Outstate - Enrollment between 1000 and 1999
12-13,2164,01,DILWORTH-GLYNDON-FELTON,Estonian,012,2,14,Clay                                         ,04,4,Outstate - Enrollment between 1000 and 1999
12-13,2164,01,DILWORTH-GLYNDON-FELTON,English,011,1402,14,Clay                                         ,04,4,Outstate - Enrollment between 1000 and 1999
12-13,2165,01,HINCKLEY-FINLAYSON SCHOOLOOL DISTRICT,"Chinese, Mandarin ",007,1,58,Pine                                         ,07E,5,Outstate - Enrollment between 500 and 999
12-13,2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,"Lao, Laotian ",028,3,58,Pine                                         ,07E,5,Outstate - Enrollment between 500 and 999
12-13,2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,Japanese,024,1,58,Pine                                         ,07E,5,Outstate - Enrollment between 500 and 999
12-13,2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,Spanish,045,2,58,Pine                                         ,07E,5,Outstate - Enrollment between 500 and 999
12-13,2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,Swedish,046,1,58,Pine                                         ,07E,5,Outstate - Enrollment between 500 and 999
12-13,2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,"Ojibwa, Chippewa, Anishinaabemowin",035,3,58,Pine                                         ,07E,5,Outstate - Enrollment between 500 and 999
12-13,2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,German,017,1,58,Pine                                         ,07E,5,Outstate - Enrollment between 500 and 999
12-13,2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,English,011,944,58,Pine                                         ,07E,5,Outstate - Enrollment between 500 and 999
12-13,2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,Hmong,020,5,58,Pine                                         ,07E,5,Outstate - Enrollment between 500 and 999
12-13,2167,01,LAKEVIEW SCHOOL DISTRICT,"Khmer, Cambodian ",005,1,42,Lyon                                         ,08,5,Outstate - Enrollment between 500 and 999
12-13,2167,01,LAKEVIEW SCHOOL DISTRICT,English,011,580,42,Lyon                                         ,08,5,Outstate - Enrollment between 500 and 999
12-13,2167,01,LAKEVIEW SCHOOL DISTRICT,Spanish,045,18,42,Lyon                                         ,08,5,Outstate - Enrollment between 500 and 999
12-13,2167,01,LAKEVIEW SCHOOL DISTRICT,"Chinese, Mandarin ",007,1,42,Lyon                                         ,08,5,Outstate - Enrollment between 500 and 999
12-13,2168,01,NRHEG SCHOOL DISTRICT,Spanish,045,4,81,Waseca                                       ,09,5,Outstate - Enrollment between 500 and 999
12-13,2168,01,NRHEG SCHOOL DISTRICT,English,011,924,81,Waseca                                       ,09,5,Outstate - Enrollment between 500 and 999
12-13,2169,01,MURRAY COUNTY CENTRAL SCHOOL DISTRICT,Cebuano,036,1,51,Murray                                       ,08,5,Outstate - Enrollment between 500 and 999
12-13,2169,01,MURRAY COUNTY CENTRAL SCHOOL DISTRICT,Nuer,076,6,51,Murray                                       ,08,5,Outstate - Enrollment between 500 and 999
12-13,2169,01,MURRAY COUNTY CENTRAL SCHOOL DISTRICT,Spanish,045,21,51,Murray                                       ,08,5,Outstate - Enrollment between 500 and 999
12-13,2169,01,MURRAY COUNTY CENTRAL SCHOOL DISTRICT,English,011,701,51,Murray                                       ,08,5,Outstate - Enrollment between 500 and 999
12-13,2170,01,STAPLES-MOTLEY SCHOOL DISTRICT,Spanish,045,5,77,Todd                                         ,05,4,Outstate - Enrollment between 1000 and 1999
12-13,2170,01,STAPLES-MOTLEY SCHOOL DISTRICT,English,011,1159,77,Todd                                         ,05,4,Outstate - Enrollment between 1000 and 1999
12-13,2171,01,KITTSON CENTRAL SCHOOL DISTRICT,English,011,317,35,Kittson                                      ,01,6,Outstate - Enrollment less than 500
12-13,2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,English,011,792,25,Goodhue                                      ,10,5,Outstate - Enrollment between 500 and 999
12-13,2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,Armenian,003,1,25,Goodhue                                      ,10,5,Outstate - Enrollment between 500 and 999
12-13,2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,Spanish,045,39,25,Goodhue                                      ,10,5,Outstate - Enrollment between 500 and 999
12-13,2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,"Sign Language, ASL",042,1,25,Goodhue                                      ,10,5,Outstate - Enrollment between 500 and 999
12-13,2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,English,011,891,11,Cass                                         ,05,5,Outstate - Enrollment between 500 and 999
12-13,2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,Spanish,045,1,11,Cass                                         ,05,5,Outstate - Enrollment between 500 and 999
12-13,2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,Japanese,024,2,11,Cass                                         ,05,5,Outstate - Enrollment between 500 and 999
12-13,2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,German,017,2,11,Cass                                         ,05,5,Outstate - Enrollment between 500 and 999
12-13,2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,Haitian Creole,085,3,11,Cass                                         ,05,5,Outstate - Enrollment between 500 and 999
12-13,2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,"Chinese, Mandarin ",007,2,11,Cass                                         ,05,5,Outstate - Enrollment between 500 and 999
12-13,2176,01,WARREN-ALVARADO-OSLO SCHOOL DISTRICT,English,011,387,45,Marshall                                     ,01,6,Outstate - Enrollment less than 500
12-13,2176,01,WARREN-ALVARADO-OSLO SCHOOL DISTRICT,Finnish,014,1,45,Marshall                                     ,01,6,Outstate - Enrollment less than 500
12-13,2176,01,WARREN-ALVARADO-OSLO SCHOOL DISTRICT,Arabic,002,1,45,Marshall                                     ,01,6,Outstate - Enrollment less than 500
12-13,2176,01,WARREN-ALVARADO-OSLO SCHOOL DISTRICT,Spanish,045,40,45,Marshall                                     ,01,6,Outstate - Enrollment less than 500
12-13,2176,01,WARREN-ALVARADO-OSLO SCHOOL DISTRICT,Japanese,024,1,45,Marshall                                     ,01,6,Outstate - Enrollment less than 500
12-13,2176,01,WARREN-ALVARADO-OSLO SCHOOL DISTRICT,German,017,2,45,Marshall                                     ,01,6,Outstate - Enrollment less than 500
12-13,2180,01,M.A.C.C.R.A.Y. SCHOOL DISTRICT,English,011,636,12,Chippewa                                     ,06W,5,Outstate - Enrollment between 500 and 999
12-13,2180,01,M.A.C.C.R.A.Y. SCHOOL DISTRICT,Spanish,045,32,12,Chippewa                                     ,06W,5,Outstate - Enrollment between 500 and 999
12-13,2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,Spanish,045,29,67,Rock                                         ,08,4,Outstate - Enrollment between 1000 and 1999
12-13,2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,"Chinese, Mandarin ",007,2,67,Rock                                         ,08,4,Outstate - Enrollment between 1000 and 1999
12-13,2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,"Lao, Laotian ",028,13,67,Rock                                         ,08,4,Outstate - Enrollment between 1000 and 1999
12-13,2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,Arabic,002,6,67,Rock                                         ,08,4,Outstate - Enrollment between 1000 and 1999
12-13,2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,English,011,1144,67,Rock                                         ,08,4,Outstate - Enrollment between 1000 and 1999
